Rank,saliency_score,OG
0,0.018302742391824722,COG0477
1,0.008705571293830872,COG1028
2,0.06726425141096115,COG0454
3,0.0807722955942154,COG0840
4,0.07980411499738693,COG1366
5,0.08658526837825775,COG1082
6,0.11711880564689636,COG0583
7,0.15470708906650543,COG5001
8,0.11421656608581543,COG0745
9,0.0803268551826477,COG1609
10,0.06627820432186127,COG0673
11,0.06279772520065308,COG1309
12,0.07271987199783325,COG1012
13,0.07098665833473206,COG0791
14,0.07330819964408875,COG1846
15,0.07546181976795197,COG0675
16,0.07653878629207611,COG0697
17,0.0559442862868309,COG2207
18,0.09880891442298889,COG2755
19,0.08790720999240875,COG4191
20,0.09396784752607346,COG0526
21,0.1470409333705902,COG0640
22,0.1148805320262909,COG0789
23,0.12492330372333527,COG1388
24,0.09044918417930603,COG0860
25,0.0820963904261589,COG0346
26,0.08584997057914734,COG1284
27,0.07217220216989517,COG1925
28,0.0746554285287857,COG0395
29,0.07360880076885223,COG1653
30,0.07608843594789505,COG0561
31,0.07673536241054535,COG1349
32,0.06936770677566528,COG1695
33,0.06088490039110184,COG1175
34,0.05792742222547531,COG0524
35,0.057094380259513855,COG4974
36,0.10971064865589142,COG2199
37,0.0813688188791275,COG1132
38,0.022707371041178703,COG0500
39,0.01146339438855648,COG2217
40,0.02217578887939453,COG1263
41,0.042366597801446915,COG1879
42,0.11919458210468292,COG0665
43,0.12928123772144318,COG0531
44,0.16862697899341583,COG0491
45,0.08198810368776321,COG2323
46,0.08121439069509506,COG0582
47,0.09860759973526001,COG2851
48,0.1128036230802536,COG0609
49,0.10079274326562881,COG0457
50,0.10699106007814407,COG3290
51,0.10373052954673767,COG0642
52,0.08551578223705292,COG1802
53,0.0776558369398117,COG0473
54,0.06227577105164528,COG2271
55,0.07083168625831604,COG0438
56,0.08290582150220871,COG0726
57,0.08588380366563797,COG1167
58,0.08682074397802353,COG5578
59,0.08408264815807343,COG0191
60,0.06331754475831985,COG2186
61,0.07888844609260559,COG4632
62,0.1290888488292694,COG1476
63,0.08886013925075531,COG0366
64,0.08728702366352081,COG2188
65,0.11444912850856781,COG1396
66,0.12618409097194672,COG0624
67,0.11393292993307114,COG2076
68,0.16939927637577057,COG1454
69,0.16282442212104797,COG0492
70,0.18894580006599426,COG1373
71,0.185334712266922,COG0737
72,0.18070733547210693,COG0702
73,0.12054641544818878,COG0656
74,0.11666997522115707,COG5577
75,0.09061720967292786,COG3039
76,0.08999922126531601,COG1115
77,0.08629671484231949,COG0443
78,0.09713472425937653,COG1414
79,0.1005229502916336,COG0785
80,0.08423139154911041,COG0534
81,0.12359420955181122,COG0861
82,0.08262103796005249,COG2141
83,0.15173998475074768,COG1131
84,0.07983112335205078,COG2340
85,0.1139853224158287,COG2267
86,0.05157652497291565,COG1595
87,0.09222916513681412,2C8MW
88,0.0857597142457962,COG0428
89,0.1153273731470108,COG3546
90,0.09421974420547485,COG2508
91,0.08563452214002609,COG0436
92,0.10871179401874542,29S4F
93,0.09557846188545227,COG1191
94,0.10717670619487762,COG0614
95,0.08793757110834122,COG1737
96,0.091824010014534,COG0154
97,0.09335974603891373,COG0281
98,0.07850311696529388,COG5002
99,0.07876594364643097,COG1959
100,0.07316999137401581,COG0604
101,0.0813315361738205,COG0488
102,0.07527460157871246,COG1522
103,0.08073863387107849,COG0370
104,0.0813138335943222,COG2072
105,0.0791768804192543,COG0596
106,0.07080226391553879,COG1785
107,0.06898289173841476,COG0834
108,0.08195817470550537,COG1136
109,0.08462320268154144,COG1230
110,0.03930210322141647,COG1597
111,0.030973918735980988,COG2801
112,0.0719321221113205,COG4565
113,0.07308745384216309,COG0778
114,0.09983833134174347,COG1917
115,0.08178680390119553,COG1172
116,0.08410611748695374,COG0598
117,0.06320947408676147,2BX75
118,0.049724116921424866,COG0741
119,0.06053436920046806,COG0577
120,0.08688205480575562,COG2059
121,0.04727727174758911,COG0755
122,0.022515933960676193,COG0667
123,0.05345592275261879,COG3832
124,0.06796035170555115,COG1192
125,0.042280521243810654,COG1961
126,0.036886632442474365,COG1253
127,0.09202578663825989,COG1051
128,0.01800396852195263,COG0300
129,0.08205001801252365,COG2233
130,0.05710233747959137,COG2972
131,0.02655746601521969,COG0730
132,0.01426357589662075,COG1145
133,0.05692081153392792,2E4BW
134,0.021770291030406952,COG1670
135,0.024796579033136368,COG2610
136,0.04924789071083069,COG3279
137,0.08230060338973999,COG1686
138,0.09727183729410172,COG0715
139,0.12038051337003708,COG3852
140,0.10720217227935791,COG2318
141,0.15410612523555756,COG0179
142,0.15751180052757263,COG1077
143,0.16435520350933075,COG0142
144,0.14846381545066833,COG0433
145,0.13005965948104858,COG0772
146,0.15604379773139954,COG2002
147,0.09657089412212372,COG2084
148,0.09050993621349335,COG1937
149,0.11658927798271179,COG1333
150,0.09669254720211029,COG0589
151,0.09631481766700745,COG4225
152,0.1053064614534378,2CG4X
153,0.09704163670539856,COG1113
154,0.11868760734796524,COG1116
155,0.07994301617145538,COG0318
156,0.08182685077190399,COG1940
157,0.045363713055849075,COG1251
158,0.017667651176452637,COG1403
159,0.05780521035194397,29X35
160,0.06829586625099182,COG1344
161,0.08288365602493286,COG3829
162,0.08669087290763855,COG1280
163,0.08949504792690277,COG0681
164,0.08523639291524887,COG3181
165,0.08643364906311035,COG2304
166,0.08420327305793762,COG1196
167,0.08342592418193817,COG1486
168,0.08267863839864731,COG0760
169,0.07769733667373657,COG0402
170,0.031458958983421326,COG1070
171,0.059137165546417236,COG0388
172,0.04714769870042801,2EIH6
173,0.05674110725522041,COG0367
174,0.0821504294872284,COG0654
175,0.09057261794805527,COG0031
176,0.06447915732860565,COG0659
177,0.018728721886873245,COG0753
178,0.010383320972323418,COG3861
179,0.03832022100687027,COG1914
180,0.06835989654064178,COG0494
181,0.04202989488840103,COG1733
182,0.13035942614078522,28PM4
183,0.14338192343711853,COG2244
184,0.08440998941659927,COG0600
185,0.10457412153482437,COG2252
186,0.13883277773857117,2CFVW
187,0.14931458234786987,COG0199
188,0.0873757004737854,COG1063
189,0.08102081716060638,2EAPX
190,0.07553170621395111,COG4948
191,0.09258031845092773,COG2197
192,0.07196793705224991,COG0451
193,0.08452820777893066,COG1073
194,0.08987441658973694,COG1129
195,0.09413963556289673,COG1960
196,0.15578635036945343,COG3383
197,0.18268361687660217,COG0394
198,0.15443679690361023,COG1292
199,0.0939585417509079,COG2329
200,0.08652469515800476,COG4326
201,0.17006203532218933,COG1210
202,0.10138706117868423,COG0053
203,0.08183719962835312,COG1764
204,0.07815686613321304,COG0607
205,0.07794926315546036,COG1994
206,0.07316955178976059,COG1651
207,0.08792197704315186,COG0183
208,0.11849121749401093,COG5434
209,0.11209572851657867,COG2116
210,0.08470946550369263,COG0699
211,0.07294555008411407,2ADZG
212,0.07004669308662415,COG1404
213,0.08624394983053207,COG0768
214,0.07933998107910156,COG0744
215,0.08757807314395905,COG0513
216,0.09511356055736542,COG0515
217,0.09658718854188919,COG2220
218,0.08200482279062271,COG1495
219,0.07857199013233185,COG0584
220,0.055909037590026855,COG1826
221,0.06142061948776245,COG0550
222,0.02084190398454666,COG0508
223,0.024256860837340355,COG0448
224,0.02803226187825203,2DSJR
225,0.017495078966021538,COG1266
226,0.03893635421991348,COG1368
227,0.038410477340221405,28XC0
228,0.08159248530864716,COG2427
229,0.0790615975856781,COG1874
230,0.07878600060939789,COG2259
231,0.11152920871973038,COG1647
232,0.08818356692790985,COG1516
233,0.14172065258026123,COG0595
234,0.13250413537025452,COG0039
235,0.08322980999946594,COG1794
236,0.06812130659818649,COG0657
237,0.09793785214424133,COG0001
238,0.0835469588637352,COG2723
239,0.08780127763748169,COG0119
240,0.06968127191066742,COG1484
241,0.06436244398355484,29REB
242,0.04377617686986923,COG0501
243,0.06823059171438217,COG0316
244,0.09090946614742279,COG0010
245,0.09587278217077255,COG3711
246,0.15995019674301147,COG0546
247,0.07779482007026672,COG0805
248,0.14010129868984222,COG0747
249,0.13203789293766022,COG0686
250,0.15035954117774963,COG4193
251,0.12843133509159088,COG1215
252,0.1327003836631775,COG0769
253,0.14980167150497437,COG0553
254,0.15141582489013672,COG0265
255,0.12139655649662018,COG0246
256,0.12559449672698975,COG0612
257,0.12394535541534424,COG2030
258,0.14147041738033295,COG2172
259,0.13375024497509003,COG1757
260,0.15373998880386353,COG0022
261,0.10230634361505508,COG1278
262,0.08781830966472626,COG0329
263,0.09089188277721405,COG1252
264,0.04130519926548004,COG0542
265,0.03415859863162041,COG2077
266,0.07029400765895844,COG2208
267,0.10784876346588135,COG1120
268,0.08614230155944824,COG0398
269,0.08767499029636383,COG2761
270,0.10177647322416306,COG0021
271,0.0993736982345581,COG0277
272,0.09433899819850922,COG1607
273,0.13884949684143066,COG0095
274,0.09314935654401779,COG0306
275,0.06601642072200775,COG4585
276,0.07337497174739838,COG1845
277,0.07539664208889008,COG1160
278,0.08352219313383102,29AGR
279,0.07420437037944794,COG2372
280,0.0643267035484314,COG1787
281,0.042089514434337616,COG0735
282,0.06641547381877899,COG1173
283,0.03691624850034714,COG1974
284,0.0628129169344902,COG4980
285,0.06425587832927704,COG0463
286,0.06713275611400604,COG0671
287,0.0638919323682785,COG0161
288,0.05999341607093811,COG0601
289,0.07176658511161804,COG3103
290,0.0658622458577156,COG1276
291,0.0802067369222641,COG0044
292,0.08050443232059479,COG3507
293,0.10531191527843475,COG1942
294,0.07227432727813721,COG3611
295,0.09437927603721619,COG2378
296,0.16211605072021484,COG0235
297,0.17095667123794556,2DFK0
298,0.1586383879184723,COG1307
299,0.11252397298812866,COG1071
300,0.09464794397354126,293T3
301,0.16911238431930542,COG1502
302,0.18205857276916504,COG0332
303,0.11891048401594162,COG1126
304,0.16307333111763,COG0739
305,0.1660369336605072,COG1393
306,0.1526011973619461,COG0639
307,0.11830046772956848,COG0444
308,0.15283820033073425,COG3935
309,0.12217479944229126,COG0389
310,0.10128964483737946,COG2017
311,0.09590805321931839,COG0847
312,0.09934057295322418,COG0846
313,0.09585542231798172,COG0028
314,0.09134498238563538,COG0225
315,0.11384578794240952,COG1301
316,0.08010676503181458,COG2856
317,0.08536116778850555,COG0628
318,0.09645330160856247,COG0439
319,0.120416060090065,COG0765
320,0.10322023928165436,COG0803
321,0.09669558703899384,COG0247
322,0.0898909643292427,COG1011
323,0.09191304445266724,COG1649
324,0.1449296474456787,COG2409
325,0.07814887166023254,COG0517
326,0.08606496453285217,COG0843
327,0.08243927359580994,COG0591
328,0.06787045300006866,COG1052
329,0.05808132514357567,COG0626
330,0.06053557246923447,COG0115
331,0.0979602187871933,29S8V
332,0.041960325092077255,COG0693
333,0.03645584359765053,2EEHB
334,0.020875029265880585,COG0841
335,0.05571860074996948,29S6R
336,0.08720651268959045,COG1055
337,0.09165394306182861,COG3336
338,0.1175534725189209,COG1104
339,0.11443699896335602,COG0205
340,0.10492497682571411,COG0714
341,0.08913569152355194,COG2200
342,0.0773346796631813,COG0110
343,0.08981067687273026,296UU
344,0.07225838303565979,COG0503
345,0.07637019455432892,COG1918
346,0.06525511294603348,COG5652
347,0.0595531165599823,COG3842
348,0.05753421038389206,COG3333
349,0.07062700390815735,COG0243
350,0.06395253539085388,COG1249
351,0.06915658712387085,COG2826
352,0.022687695920467377,COG4786
353,0.068026103079319,COG1024
354,0.10331565141677856,COG0662
355,0.0658348873257637,COG4129
356,0.09466198086738586,COG0564
357,0.08431611955165863,COG0684
358,0.0847896933555603,COG0358
359,0.08803953975439072,COG0706
360,0.11564214527606964,COG2138
361,0.07936802506446838,COG2807
362,0.06834399700164795,COG1999
363,0.06260314583778381,COG3599
364,0.07362908869981766,COG1277
365,0.08257441222667694,COG2721
366,0.07479473948478699,COG1161
367,0.0814645066857338,COG4992
368,0.09703601896762848,28XHF
369,0.13178762793540955,COG1434
370,0.07731685787439346,COG4106
371,0.08023732155561447,COG1295
372,0.07334394752979279,COG1231
373,0.09564973413944244,2F1W9
374,0.08016441762447357,COG4806
375,0.09427422285079956,COG2345
376,0.07480040192604065,COG0698
377,0.0891157016158104,COG1413
378,0.13572227954864502,COG0707
379,0.10605956614017487,COG2111
380,0.13670790195465088,COG3211
381,0.15467210114002228,COG0472
382,0.10678315907716751,COG1966
383,0.0846719965338707,COG3395
384,0.07955151796340942,COG1048
385,0.0482357032597065,COG0530
386,0.07145839929580688,COG5485
387,0.09638068079948425,COG4469
388,0.09830041229724884,COG0015
389,0.08732286840677261,COG0733
390,0.05898120626807213,COG3254
391,0.07832646369934082,COG3962
392,0.08150254935026169,COG0305
393,0.10575797408819199,COG0405
394,0.10675854980945587,COG0465
395,0.11137492954730988,COG0242
396,0.12528592348098755,2CYE0
397,0.1216505616903305,COG0024
398,0.0623294934630394,COG1878
399,0.056389473378658295,COG1061
400,0.1313670575618744,COG1187
401,0.09683232754468918,COG0169
402,0.09540008753538132,COG1009
403,0.0893242359161377,COG0352
404,0.09370829164981842,COG1316
405,0.09710907936096191,COG3125
406,0.07540645450353622,COG0111
407,0.07858597487211227,COG1459
408,0.07034903019666672,COG0449
409,0.07503458112478256,arCOG10317
410,0.08120419085025787,2EZDK
411,0.07486532628536224,COG3428
412,0.08113633096218109,COG0036
413,0.10229386389255524,28K3D
414,0.11863171309232712,COG3655
415,0.11066047847270966,COG2009
416,0.11568592488765717,COG1271
417,0.1036863699555397,COG1018
418,0.11257782578468323,COG2326
419,0.14174196124076843,COG1556
420,0.13109469413757324,2DJ0G
421,0.1411365419626236,COG3012
422,0.114523746073246,COG1408
423,0.17491775751113892,COG0187
424,0.1268773227930069,COG0523
425,0.09395810216665268,COG1638
426,0.09692844748497009,COG1587
427,0.08988036215305328,COG0566
428,0.09353387355804443,COG1045
429,0.0965326726436615,COG0826
430,0.09659073501825333,COG0695
431,0.09250828623771667,COG0489
432,0.07885928452014923,COG2212
433,0.0739266574382782,COG0845
434,0.09371839463710785,COG0450
435,0.07501323521137238,COG2265
436,0.08225250244140625,COG1250
437,0.04373648017644882,COG4122
438,0.07745235413312912,COG1232
439,0.08761097490787506,COG5527
440,0.09286046028137207,COG0155
441,0.05649054795503616,COG0147
442,0.08834481984376907,COG2249
443,0.05756751447916031,COG1473
444,0.060451801866292953,COG2010
445,0.07921363413333893,COG1006
446,0.09547962993383408,COG3391
447,0.08695312589406967,COG0512
448,0.08403091877698898,COG0483
449,0.09433723241090775,COG0386
450,0.13420632481575012,COG3544
451,0.12920284271240234,COG3665
452,0.0971522107720375,COG0345
453,0.08185600489377975,COG0322
454,0.011510347947478294,COG1195
455,0.038039430975914,COG2041
456,0.06718717515468597,COG1725
457,0.025458924472332,COG4988
458,0.05550128221511841,COG0042
459,0.0037379383575171232,2C5NJ
460,0.08180186152458191,COG1988
461,0.09530946612358093,COG1658
462,0.09502045810222626,COG1053
463,0.08078192174434662,COG1674
464,0.08180657029151917,COG1884
465,0.09585417807102203,COG1734
466,0.12484164535999298,COG0568
467,0.13763508200645447,COG4977
468,0.09654352068901062,COG1359
469,0.02173781767487526,COG0479
470,0.044001758098602295,COG3595
471,0.018045194447040558,COG2732
472,0.03825158253312111,COG2206
473,0.06342686712741852,COG1624
474,0.039868902415037155,COG1514
475,0.04199383407831192,COG1838
476,0.07682737708091736,COG1863
477,0.1480495184659958,COG0514
478,0.10700590908527374,COG0202
479,0.10316421091556549,COG2357
480,0.09835220128297806,COG1352
481,0.1165381520986557,COG1030
482,0.09127947688102722,28I6D
483,0.1421617567539215,COG0750
484,0.06845425069332123,COG0719
485,0.05498089641332626,2ANER
486,0.09343121200799942,COG1001
487,0.09701340645551682,COG0188
488,0.11027698218822479,COG2346
489,0.09773983061313629,28JN3
490,0.10111585259437561,COG0079
491,0.10224653035402298,COG1922
492,0.09821654111146927,COG1943
493,0.10014313459396362,COG2246
494,0.08958762884140015,COG1972
495,0.10010415315628052,COG0794
496,0.10544273257255554,299QV
497,0.16129159927368164,COG3773
498,0.17007790505886078,COG2204
499,0.12748636305332184,COG0527
500,0.11136262863874435,COG1586
501,0.11452645063400269,COG2120
502,0.09123647212982178,COG0209
503,0.07493816316127777,COG3766
504,0.10532249510288239,arCOG03092
505,0.12107428163290024,COG0141
506,0.13857747614383698,COG0176
507,0.11769244074821472,COG0267
508,0.10430608689785004,COG4123
509,0.09506855905056,COG1953
510,0.07294347882270813,COG0663
511,0.11666718125343323,COG1776
512,0.1156124398112297,COG4821
513,0.09301776438951492,COG1887
514,0.08818154036998749,COG1182
515,0.06601209938526154,COG3118
516,0.06665794551372528,COG2223
517,0.08087954670190811,COG4294
518,0.06746891885995865,COG0539
519,0.04375540465116501,COG0766
520,0.06979586184024811,COG0516
521,0.059816647320985794,COG2215
522,0.031639765948057175,COG0446
523,0.02842976152896881,COG3195
524,0.02958172746002674,COG1593
525,0.011548429727554321,COG0620
526,0.01979229599237442,COG2257
