Organism group,Isolation_source,Isolation_source_1,Isolation type,Strain,Scientific name,Level,Assembly,Contigs,Collection date,Source type,Location,Host,Species TaxID,TaxID,Create date,Isolate identifiers,Host disease,Virulence genotypes,BioProject,K-mer group,Food origin
Acinetobacter baumannii,blood,blood,clinical,B8342,Acinetobacter baumannii,Complete Genome,GCA_001077555.2,1,2014/3/15,,India: Vellore,Homo sapiens,470,470,2017-05-23T14:55:09Z,"""B8342""",Bacteremia,,PRJNA286787,PDG000000010.1664,
Acinetobacter baumannii,blood,blood,clinical,Ab04-mff,Acinetobacter baumannii,Complete Genome,GCA_001077655.1,3,2012,,Canada: Edmonton,Homo sapiens,470,470,2015-07-14T16:51:11Z,"""Ab04-mff"",""Acinetobacter baumannii Ab04-mff""",sepsis,,PRJNA288605,PDG000000010.1664,
Acinetobacter baumannii,blood,blood,clinical,B8300,Acinetobacter baumannii,Complete Genome,GCA_001077965.2,2,2015/3/15,,India: Vellore,Homo sapiens,470,470,2017-05-31T18:57:05Z,"""B8300"",""B8300R""",bacteremia,,PRJNA286871,PDG000000010.1664,
Acinetobacter baumannii,blood,blood,clinical,ATCC 17978-VU,Acinetobacter baumannii,Complete Genome,GCA_001593425.2,1,,,not collected,Homo sapiens,470,470,2016-12-19T19:00:17Z,"""ATCC 17978"",""ATCC 17978-VU"",""ATCC:17978"",""SRS1166156""",Nosocomial infection,,PRJNA302452,PDG000000010.1664,
Acinetobacter baumannii,blood,blood,clinical,SSA3,Acinetobacter nosocomialis,Complete Genome,GCA_002082665.1,2,13-Sep,,South Korea: Seoul,Homo sapiens,106654,106654,2017-04-10T14:57:27Z,"""SSA3""",not collected,,PRJNA380857,PDG000000010.1664,
Acinetobacter baumannii,blood,blood,clinical,SAA14,Acinetobacter baumannii,Complete Genome,GCA_002082845.1,1,13-Sep,,South Korea: Seoul,Homo sapiens,470,470,2017-04-10T15:05:17Z,"""SAA14""",not collected,,PRJNA380857,PDG000000010.1664,
Acinetobacter baumannii,blood,blood,clinical,SSA12,Acinetobacter baumannii,Complete Genome,GCA_002082865.1,3,13-Sep,,South Korea: Seoul,Homo sapiens,470,470,2017-04-10T15:06:07Z,"""SSA12""",not collected,,PRJNA380857,PDG000000010.1664,
Acinetobacter baumannii,blood,blood,clinical,7847,Acinetobacter baumannii,Complete Genome,GCA_003516005.1,3,2008/4/28,,"Mexico: Monterrey, Nuevo Leon",Homo sapiens,470,470,2018-09-10T12:52:07Z,"""7847""",A. baumannii bacteremia,,PRJNA311558,PDG000000010.1664,
Acinetobacter baumannii,blood,blood,clinical,9201,Acinetobacter baumannii,Complete Genome,GCA_003522665.1,2,13-Aug,,Mexico: Guadalajara,Homo sapiens,470,470,2018-09-10T14:53:07Z,"""9201"",""Acinetobacter baumannii 9201""",Acinetobacter infection,,PRJNA311558,PDG000000010.1664,
Acinetobacter baumannii,blood,blood,clinical,XH906,Acinetobacter baumannii,Complete Genome,GCA_003591615.1,1,2016,,China:Zhejiang,Homo sapiens,470,470,2018-09-24T15:51:15Z,"""XH906""",,,PRJNA400841,PDG000000010.1664,
