,UHGG2_5genus_50_fna/MGYG000000074.fna,UHGG2_5genus_50_fna/MGYG000000172.fna,UHGG2_5genus_50_fna/MGYG000000293.fna,UHGG2_5genus_50_fna/MGYG000000534.fna,UHGG2_5genus_50_fna/MGYG000000650.fna,UHGG2_5genus_50_fna/MGYG000000694.fna,UHGG2_5genus_50_fna/MGYG000000695.fna,UHGG2_5genus_50_fna/MGYG000000707.fna,UHGG2_5genus_50_fna/MGYG000000774.fna,UHGG2_5genus_50_fna/MGYG000001010.fna,UHGG2_5genus_50_fna/MGYG000001203.fna,UHGG2_5genus_50_fna/MGYG000001246.fna,UHGG2_5genus_50_fna/MGYG000001250.fna,UHGG2_5genus_50_fna/MGYG000001311.fna,UHGG2_5genus_50_fna/MGYG000001415.fna,UHGG2_5genus_50_fna/MGYG000001444.fna,UHGG2_5genus_50_fna/MGYG000001493.fna,UHGG2_5genus_50_fna/MGYG000001564.fna,UHGG2_5genus_50_fna/MGYG000001663.fna,UHGG2_5genus_50_fna/MGYG000001731.fna,UHGG2_5genus_50_fna/MGYG000001759.fna,UHGG2_5genus_50_fna/MGYG000001763.fna,UHGG2_5genus_50_fna/MGYG000001971.fna,UHGG2_5genus_50_fna/MGYG000002133.fna,UHGG2_5genus_50_fna/MGYG000002566.fna,UHGG2_5genus_50_fna/MGYG000002640.fna,UHGG2_5genus_50_fna/MGYG000002642.fna,UHGG2_5genus_50_fna/MGYG000002731.fna,UHGG2_5genus_50_fna/MGYG000002733.fna,UHGG2_5genus_50_fna/MGYG000002819.fna,UHGG2_5genus_50_fna/MGYG000002946.fna,UHGG2_5genus_50_fna/MGYG000003234.fna,UHGG2_5genus_50_fna/MGYG000003406.fna,UHGG2_5genus_50_fna/MGYG000003467.fna,UHGG2_5genus_50_fna/MGYG000003472.fna,UHGG2_5genus_50_fna/MGYG000003539.fna,UHGG2_5genus_50_fna/MGYG000003556.fna,UHGG2_5genus_50_fna/MGYG000003605.1.fna,UHGG2_5genus_50_fna/MGYG000003680.fna,UHGG2_5genus_50_fna/MGYG000003763.fna,UHGG2_5genus_50_fna/MGYG000003787.fna,UHGG2_5genus_50_fna/MGYG000003902.fna,UHGG2_5genus_50_fna/MGYG000004241.fna,UHGG2_5genus_50_fna/MGYG000004491.fna,UHGG2_5genus_50_fna/MGYG000004553.fna,UHGG2_5genus_50_fna/MGYG000004621.fna,UHGG2_5genus_50_fna/MGYG000004627.fna,UHGG2_5genus_50_fna/MGYG000004658.fna,UHGG2_5genus_50_fna/MGYG000004858.fna,UHGG2_5genus_50_fna/MGYG000004894.fna
UHGG2_5genus_50_fna/MGYG000000074.fna,100.0,74.8564,74.557,75.6476,74.3585,74.5167,75.9144,75.067,74.4103,74.6551,75.0374,,74.5428,74.7759,79.4279,76.7636,74.5433,75.7959,80.6349,74.7911,75.0497,75.8954,74.7036,76.9968,74.6182,74.5556,74.4627,74.5154,74.8807,,74.9077,74.4765,74.786,76.4624,76.3176,76.8084,76.2995,76.3252,75.6639,75.0514,74.9391,,77.2113,75.3018,74.4458,75.3516,75.894,85.0461,,74.5419
UHGG2_5genus_50_fna/MGYG000000172.fna,74.8564,100.0,74.5686,74.5375,77.1131,75.2527,74.5156,74.7023,78.3121,75.9685,75.358,77.5718,77.044,78.254,75.1417,76.3333,78.3851,78.2653,74.5855,75.1738,74.9327,75.6618,77.8681,74.5154,75.3994,79.0906,74.3844,74.5605,76.2254,74.3844,86.6378,76.8327,74.4495,75.7825,74.5066,75.7713,,76.5376,75.8747,77.0136,75.53,76.603,74.7875,74.9489,75.6258,74.4607,74.4364,74.8325,74.6635,78.9544
UHGG2_5genus_50_fna/MGYG000000293.fna,74.557,74.5686,100.0,74.5154,74.4499,74.4237,74.3975,,74.5154,90.9222,,74.4364,74.4364,74.5686,,82.7045,75.2183,74.4627,,,,74.5686,74.5686,74.3844,,87.0371,91.7038,,,83.0118,83.2294,,77.5343,74.5954,,74.5154,,74.489,74.4627,74.4627,74.5419,92.8558,74.6492,74.3844,,74.4364,74.4364,,91.5856,92.2207
UHGG2_5genus_50_fna/MGYG000000534.fna,75.6476,74.5375,74.5154,99.9999,74.3585,74.5103,78.1944,78.3015,74.7105,74.489,75.0095,74.5052,74.5419,74.529,75.3491,73.9641,74.4902,74.5728,75.7774,75.2214,74.5521,79.0104,74.5441,77.0379,74.534,,74.3844,,74.5495,74.5419,74.5443,74.4723,74.4627,75.6667,76.0431,75.8477,75.1612,75.6856,77.2311,76.4816,74.5195,74.6222,75.1476,77.6908,74.5343,76.6952,76.5535,77.1897,,74.587
UHGG2_5genus_50_fna/MGYG000000650.fna,74.3585,77.1131,74.4499,74.3585,100.0,74.4364,74.3844,77.0761,77.3566,74.5686,74.7036,77.3182,77.4652,77.5268,74.0401,,78.2527,78.2287,74.7036,74.6222,74.6492,74.5154,77.7136,74.5154,74.4103,,74.5154,,,,76.7377,74.5686,74.4456,,74.4103,74.4364,74.5419,,74.3844,74.6492,74.4103,74.3585,,75.7311,74.4627,74.786,,74.4758,,
UHGG2_5genus_50_fna/MGYG000000694.fna,74.5167,75.2527,74.4237,74.5103,74.4364,100.0,74.4627,74.6968,74.489,74.489,92.396,74.489,74.489,75.2075,75.5667,74.786,74.5962,75.2466,74.5154,91.3961,91.7129,74.5807,74.5288,,90.9725,74.489,74.6222,90.2603,91.489,74.786,75.3255,91.2647,,74.6237,75.1614,74.6089,74.489,75.6534,74.477,76.8926,91.1043,74.3585,74.5435,74.5033,91.5234,74.5745,74.8143,78.4403,,74.6222
UHGG2_5genus_50_fna/MGYG000000695.fna,75.9144,74.5156,74.3975,78.1944,74.3844,74.4627,100.0,78.3107,74.3585,74.5281,74.6222,74.5419,,74.6476,75.3349,76.0592,74.7165,74.4364,74.5775,74.6763,74.6492,78.5685,74.4365,78.5685,74.4627,74.5963,74.5033,,74.5954,74.3585,74.3585,74.4627,76.6817,75.8704,76.7232,76.1496,76.6393,75.866,77.2554,76.7311,74.5559,74.5452,75.067,78.5238,74.6492,76.1691,76.8312,76.2897,,75.8095
UHGG2_5genus_50_fna/MGYG000000707.fna,75.067,74.7023,,78.3015,77.0761,74.6968,78.3107,100.0,74.8695,74.4364,74.557,74.7206,74.5968,74.5573,78.9453,75.028,74.4769,74.7309,75.4744,74.5298,74.6492,80.877,74.5878,78.1334,74.4627,74.4627,74.5963,74.3585,74.5154,74.8137,74.3844,74.5154,74.4234,74.8681,76.2449,75.4532,76.2528,75.9018,76.5173,75.5296,74.3844,74.4364,75.8425,78.0459,74.4761,76.0547,76.206,79.0819,74.6763,77.9223
UHGG2_5genus_50_fna/MGYG000000774.fna,74.4103,78.3121,74.5154,74.7105,77.3566,74.489,74.3585,74.8695,100.0,75.6385,74.3844,88.2652,77.7858,77.7575,74.4627,74.8569,77.931,77.8994,,,,74.6043,77.9851,74.644,74.489,75.3885,74.4631,,74.6492,74.3714,76.9483,74.5154,74.8137,,,75.8357,75.1369,,75.3691,74.3844,74.4364,75.6932,74.4895,75.8092,74.3585,,74.4544,74.3844,74.7584,76.1001
UHGG2_5genus_50_fna/MGYG000001010.fna,74.6551,75.9685,90.9222,74.489,74.5686,74.489,74.5281,74.4364,75.6385,100.0,74.7309,75.0964,74.489,75.8129,74.4627,83.8535,75.9199,74.5251,74.6492,74.6763,74.9826,,74.5564,,74.5686,86.613,94.5077,74.5154,74.7584,83.9845,80.005,74.7309,79.8136,74.6492,,74.6492,74.3844,,74.5785,74.3585,74.8695,93.8007,74.5028,74.4629,74.5174,,74.4627,74.4367,91.5134,93.1639
UHGG2_5genus_50_fna/MGYG000001203.fna,75.0374,75.358,,75.0095,74.7036,92.396,74.6222,74.557,74.3844,74.7309,100.0,77.5446,,74.9558,74.7887,77.1027,74.4843,74.9872,74.4716,92.0595,92.0982,74.6,74.5099,74.3585,91.267,73.2708,,91.6214,91.9026,74.7309,75.1956,91.629,,,74.3585,74.5154,74.8976,74.3844,75.5239,74.6498,91.8401,,74.6766,74.3844,92.0501,74.3844,,75.5408,,
UHGG2_5genus_50_fna/MGYG000001246.fna,,77.5718,74.4364,74.5052,77.3182,74.489,74.5419,74.7206,88.2652,75.0964,77.5446,100.0,77.9265,77.9106,74.6803,74.5486,78.2852,78.2064,74.5954,74.8976,76.5585,75.3426,78.1903,74.4367,74.5963,76.7361,75.6032,,75.9981,74.4194,77.0067,74.6492,74.6382,74.4629,74.6369,75.8359,75.5002,,76.2458,74.4103,,74.5789,,76.174,74.6492,74.4892,74.5553,74.4806,74.7174,74.4904
UHGG2_5genus_50_fna/MGYG000001250.fna,74.5428,77.044,74.4364,74.5419,77.4652,74.489,,74.5968,77.7858,74.489,,77.9265,100.0,77.1817,74.7036,74.2572,77.066,77.497,,,,74.4627,78.3008,74.5154,,74.7045,74.4631,,,74.4364,76.5781,,,,,,74.3585,74.5154,74.3585,74.3844,,74.4895,,74.481,,,,74.3585,74.5163,74.3844
UHGG2_5genus_50_fna/MGYG000001311.fna,74.7759,78.254,74.5686,74.529,77.5268,75.2075,74.6476,74.5573,77.7575,75.8129,74.9558,77.9106,77.1817,100.0,74.8882,76.6635,81.3149,80.6932,74.489,75.3595,74.8641,74.3844,78.524,75.0774,75.0959,75.1771,74.3714,75.248,75.0501,74.561,77.803,75.0574,74.6823,74.4364,75.6761,74.5287,75.613,76.5507,75.1497,74.7584,75.2893,75.0834,74.6232,76.0083,75.0385,75.4455,74.4103,75.7963,74.7584,74.6763
UHGG2_5genus_50_fna/MGYG000001415.fna,79.4279,75.1417,,75.3491,74.0401,75.5667,75.3349,78.9453,74.4627,74.4627,74.7887,74.6803,74.7036,74.8882,100.0,76.9046,74.7104,74.0394,78.4235,75.3139,74.4949,75.7329,,75.3702,75.3203,74.8137,74.4627,74.7584,74.6929,74.3844,75.2767,74.5113,,77.1585,75.8485,76.8341,76.2421,76.179,76.1759,80.3929,74.9011,74.5686,77.2783,76.332,74.5884,75.4213,75.5656,80.6098,,
UHGG2_5genus_50_fna/MGYG000001444.fna,76.7636,76.3333,82.7045,73.9641,,74.786,76.0592,75.028,74.8569,83.8535,77.1027,74.5486,74.2572,76.6635,76.9046,99.9903,77.137,74.4627,74.8695,74.6763,74.9826,,74.3585,74.3585,74.5686,82.0789,83.7238,74.5154,74.6369,89.5329,89.775,74.5576,79.2507,74.8695,74.6801,74.8695,,81.1478,74.4761,73.9641,74.8695,84.3331,74.4103,74.4364,74.6763,74.786,74.5154,77.8091,84.9148,84.4268
UHGG2_5genus_50_fna/MGYG000001493.fna,74.5433,78.3851,75.2183,74.4902,78.2527,74.5962,74.7165,74.4769,77.931,75.9199,74.4843,78.2852,77.066,81.3149,74.7104,77.137,99.9999,91.9821,74.4631,75.0648,74.6371,74.5159,78.5009,74.489,75.3883,77.3202,74.3844,74.4627,75.2047,74.3973,77.6136,74.6946,74.489,74.5428,74.6259,74.5023,75.0613,74.3844,75.7701,74.4104,74.5023,75.9035,74.3844,76.3986,74.5038,75.6133,74.4364,76.0723,77.1564,75.8099
UHGG2_5genus_50_fna/MGYG000001564.fna,75.7959,78.2653,74.4627,74.5728,78.2287,75.2466,74.4364,74.7309,77.8994,74.5251,74.9872,78.2064,77.497,80.6932,74.0394,74.4627,91.9821,100.0,74.4502,76.0171,74.5294,74.3585,78.6985,74.4103,74.6412,75.8652,74.599,,75.8111,75.2291,77.8076,75.7709,,74.4103,75.1283,74.5419,74.5159,75.6775,75.3426,74.3844,74.5156,77.0761,75.334,74.4191,74.5018,74.6763,74.1054,74.4899,74.7584,77.1834
UHGG2_5genus_50_fna/MGYG000001663.fna,80.6349,74.5855,,75.7774,74.7036,74.5154,74.5775,75.4744,,74.6492,74.4716,74.5954,,74.489,78.4235,74.8695,74.4631,74.4502,100.0,74.5095,74.4939,75.8612,74.6763,75.2211,74.4453,74.7315,,,74.5072,,74.8412,74.534,,76.7748,76.3079,76.4081,75.9374,75.621,75.8828,75.7839,74.5844,74.5686,76.5641,76.2828,75.0394,74.9112,75.2466,81.148,,
UHGG2_5genus_50_fna/MGYG000001731.fna,74.7911,75.1738,,75.2214,74.6222,91.3961,74.6763,74.5298,,74.6763,92.0595,74.8976,,75.3595,75.3139,74.6763,75.0648,76.0171,74.5095,100.0,93.4171,74.8416,74.4957,74.4237,92.7111,,74.4364,92.9314,93.8748,74.6763,74.8331,93.9574,,74.489,74.3585,74.6369,74.6059,74.4367,74.489,74.7309,94.4001,,74.5954,74.5073,94.0829,74.5808,74.8976,74.9935,,93.6097
UHGG2_5genus_50_fna/MGYG000001759.fna,75.0497,74.9327,,74.5521,74.6492,91.7129,74.6492,74.6492,,74.9826,92.0982,76.5585,,74.8641,74.4949,74.9826,74.6371,74.5294,74.4939,93.4171,100.0,74.6068,74.4983,,92.2514,,,92.3656,93.0631,74.9826,75.0058,93.1661,,74.489,74.3714,74.5287,74.6077,74.5438,74.489,74.5168,93.2805,74.4627,74.7445,74.5073,93.3174,74.5576,74.6901,75.4666,,93.81
UHGG2_5genus_50_fna/MGYG000001763.fna,75.8954,75.6618,74.5686,79.0104,74.5154,74.5807,78.5685,80.877,74.6043,,74.6,75.3426,74.4627,74.3844,75.7329,,74.5159,74.3585,75.8612,74.8416,74.6068,100.0,74.4364,77.4506,74.6631,,,74.4106,74.5541,74.8976,74.4364,75.2639,,75.8118,75.7767,75.6045,75.3514,75.371,77.667,76.4172,74.489,74.8137,75.7447,78.5689,75.7044,76.6444,76.3465,75.8492,,74.3844
UHGG2_5genus_50_fna/MGYG000001971.fna,74.7036,77.8681,74.5686,74.5441,77.7136,74.5288,74.4365,74.5878,77.9851,74.5564,74.5099,78.1903,78.3008,78.524,,74.3585,78.5009,78.6985,74.6763,74.4957,74.4983,74.4364,100.0,74.5096,74.6493,74.4627,74.4899,74.4364,74.4458,74.5154,77.6717,74.489,74.4627,74.4103,,74.4502,74.5419,74.4627,78.8211,75.7159,74.6403,74.4631,74.6222,75.7049,74.4766,75.7311,,74.6901,74.4627,74.5419
UHGG2_5genus_50_fna/MGYG000002133.fna,76.9968,74.5154,74.3844,77.0379,74.5154,,78.5685,78.1334,74.644,,74.3585,74.4367,74.5154,75.0774,75.3702,74.3585,74.489,74.4103,75.2211,74.4237,,77.4506,74.5096,100.0,,74.4627,,74.4627,74.4103,,75.2696,74.3844,74.3844,74.7315,75.3636,75.7729,75.7278,76.177,76.4022,75.8625,,74.5954,75.3894,77.1481,74.3585,75.4587,76.1631,75.1873,,76.6025
UHGG2_5genus_50_fna/MGYG000002566.fna,74.6182,75.3994,,74.534,74.4103,90.9725,74.4627,74.4627,74.489,74.5686,91.267,74.5963,,75.0959,75.3203,74.5686,75.3883,74.6412,74.4453,92.7111,92.2514,74.6631,74.6493,,100.0,,,93.6581,93.3657,74.5686,75.5071,92.9742,,74.786,74.4627,74.6364,74.5419,74.489,,74.4103,93.3386,,74.663,74.3844,93.1267,75.4925,,74.9253,,93.0646
