accession	ambiguous_bases	checkm2_completeness	checkm2_contamination	checkm2_model	checkm_completeness	checkm_contamination	checkm_marker_count	checkm_marker_lineage	checkm_marker_set_count	checkm_strain_heterogeneity	coding_bases	coding_density	contig_count	gc_count	gc_percentage	genome_size	gtdb_genome_representative	gtdb_representative	gtdb_taxonomy	gtdb_type_designation_ncbi_taxa	gtdb_type_designation_ncbi_taxa_sources	gtdb_type_species_of_genus	l50_contigs	l50_scaffolds	longest_contig	longest_scaffold	lsu_23s_contig_len	lsu_23s_count	lsu_23s_length	lsu_23s_query_id	lsu_5s_contig_len	lsu_5s_count	lsu_5s_length	lsu_5s_query_id	lsu_silva_23s_blast_align_len	lsu_silva_23s_blast_bitscore	lsu_silva_23s_blast_evalue	lsu_silva_23s_blast_perc_identity	lsu_silva_23s_blast_subject_id	lsu_silva_23s_taxonomy	mean_contig_length	mean_scaffold_length	mimag_high_quality	mimag_low_quality	mimag_medium_quality	n50_contigs	n50_scaffolds	ncbi_assembly_level	ncbi_assembly_name	ncbi_assembly_type	ncbi_bioproject	ncbi_biosample	ncbi_contig_count	ncbi_contig_n50	ncbi_country	ncbi_date	ncbi_genbank_assembly_accession	ncbi_genome_category	ncbi_genome_representation	ncbi_isolate	ncbi_isolation_source	ncbi_lat_lon	ncbi_molecule_count	ncbi_ncrna_count	ncbi_organism_name	ncbi_protein_count	ncbi_refseq_category	ncbi_rrna_count	ncbi_scaffold_count	ncbi_scaffold_l50	ncbi_scaffold_n50	ncbi_scaffold_n75	ncbi_scaffold_n90	ncbi_seq_rel_date	ncbi_spanned_gaps	ncbi_species_taxid	ncbi_ssu_count	ncbi_strain_identifiers	ncbi_submitter	ncbi_taxid	ncbi_taxonomy	ncbi_taxonomy_unfiltered	ncbi_total_gap_length	ncbi_total_length	ncbi_translation_table	ncbi_trna_count	ncbi_type_material_designation	ncbi_ungapped_length	ncbi_unspanned_gaps	ncbi_wgs_master	protein_count	scaffold_count	ssu_contig_len	ssu_count	ssu_gg_blast_align_len	ssu_gg_blast_bitscore	ssu_gg_blast_evalue	ssu_gg_blast_perc_identity	ssu_gg_blast_subject_id	ssu_gg_taxonomy	ssu_length	ssu_query_id	ssu_silva_blast_align_len	ssu_silva_blast_bitscore	ssu_silva_blast_evalue	ssu_silva_blast_perc_identity	ssu_silva_blast_subject_id	ssu_silva_taxonomy	total_gap_length	trna_aa_count	trna_count	trna_selenocysteine_count
RS_GCF_000485535.1	0	98.72	0.11	Specific	99.84	0.43	359	f__Halobacteriaceae (UID84)	235	100	3153351	86.69010952033513	36	2278221	62.63171177471926	3637498	RS_GCF_000196895.1	f	d__Archaea;p__Halobacteriota;c__Halobacteria;o__Halobacteriales;f__Halalkalicoccaceae;g__Halalkalicoccus;s__Halalkalicoccus jeotgali	type strain of species	LPSN	f	5	5	589879	589879	316244	1	2904	NZ_AXZD01000013.1	316244	1	105	NZ_AXZD01000013.1	2904	5363	0	100	CP002062.10379.13287	Archaea;Halobacteriota;Halobacteria;Halobacterales;Halococcaceae;Halalkalicoccus;Halalkalicoccus jeotgali B3	101041	103928	t	f	f	266214	266214	Scaffold	ASM48553v1	na	PRJNA224116	SAMN02440736	36	266214	Korea	2013-10-25	GCA_000485535.1	none	full	na	none	none	0	0	Halalkalicoccus jeotgali B3	3723	na	3	35	5	266214	147148	64246	2013/10/25	1	413810	1	B3	DOE Joint Genome Institute	795797	d__Archaea;p__Euryarchaeota;c__Halobacteria;o__Halobacteriales;f__Halococcaceae;g__Halalkalicoccus;s__Halalkalicoccus jeotgali	d__Archaea;p__Euryarchaeota;x__Stenosarchaea group;c__Halobacteria;o__Halobacteriales;f__Halococcaceae;g__Halalkalicoccus;s__Halalkalicoccus jeotgali;x__Halalkalicoccus jeotgali B3	10	3637498	11	49	assembly from type material	3637488	0	AXZD00000000.1	3860	35	316244	1	none	none	none	none	none	none	1473	NZ_AXZD01000013.1	1473	2721	0	100	CP002062.13692.15164	Archaea;Halobacteriota;Halobacteria;Halobacterales;Halococcaceae;Halalkalicoccus;Halalkalicoccus jeotgali B3	10	19	48	0
RS_GCF_003385755.1	6	99.99	0.09	Specific	100	0.25	188	p__Euryarchaeota (UID3)	125	25	1536669	89.88697071814511	7	846102	49.49805892717993	1709557	RS_GCF_000008645.1	f	d__Archaea;p__Methanobacteriota;c__Methanobacteria;o__Methanobacteriales;f__Methanothermobacteraceae;g__Methanothermobacter;s__Methanothermobacter thermautotrophicus	type strain of species	LPSN	f	1	1	914953	1110228	5160	1	3019	NZ_QREL01000005.1	112145	1	117	NZ_QREL01000004.1	3019	5517	0	99.669	AE000666.1604016.1607044	Archaea;Methanobacteriota;Methanobacteria;Methanobacteriales;Methanothermobacteriaceae;Methanothermobacter;Methanothermobacter thermautotrophicus str. Delta H	244195	341911	t	f	f	914953	1110228	Scaffold	ASM338575v1	na	PRJNA224116	SAMN08769621	7	914953	Russia	2018-08-14	GCA_003385755.1	none	full	na	none	none	0	0	Methanothermobacter defluvii	none	representative genome	3	5	1	1110228	344883	137141	2018/08/14	2	49339	1	DSM 7466	DOE Joint Genome Institute	49339	d__Archaea;p__Euryarchaeota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__Methanothermobacter;s__Methanothermobacter defluvii	d__Archaea;p__Euryarchaeota;x__Methanomada group;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__Methanothermobacter;s__Methanothermobacter defluvii	187	1709557	11	38	assembly from type material	1709370	0	QREL00000000.1	1788	5	5160	1	none	none	none	none	none	none	1479	NZ_QREL01000005.1	1479	2726	0	99.932	AE000666.1602210.1603688	Archaea;Methanobacteriota;Methanobacteria;Methanobacteriales;Methanothermobacteriaceae;Methanothermobacter;Methanothermobacter thermautotrophicus str. Delta H	187	19	38	0
GB_GCA_002508335.1	6	79.66	0.54	Specific	84.5	1.61	187	p__Euryarchaeota (UID3)	124	0	1380050	83.89137311828742	281	605424	37.14585828441286	1645044	RS_GCF_900083515.1	f	d__Archaea;p__Thermoplasmatota;c__Thermoplasmata;o__Thermoplasmatales;f__Thermoplasmataceae;g__Cuniculiplasma;s__Cuniculiplasma divulgatum	not type material	none	f	46	32	57999	64993	12614	1	2894	DARK01000022.1	61597	1	114	DARK01000115.1	2894	5339	0	99.965	ATDV01000007.115999.118903	Archaea;Thermoplasmatota;Thermoplasmata;Thermoplasmatales;Thermoplasmataceae;Cuniculiplasma;Thermoplasmatales archaeon Gpl	5800	11345	f	f	t	10353	15851	Scaffold	ASM250833v1	na	PRJNA348753	SAMN06027140	281	10353	USA: Richmond Mine	2017-10-11	GCA_002508335.1	derived from metagenome	full	UBA444	Richmond Mine C75 location	none	0	none	Thermoplasmatales archaeon UBA444	0	na	none	145	32	15851	9311	5238	2017/10/11	136	1915715	none	UBA444	University of Queensland	1915715	d__Archaea;p__Candidatus Thermoplasmatota;c__Thermoplasmata;o__Thermoplasmatales;f__;g__;s__	d__Archaea;p__Candidatus Thermoplasmatota;c__Thermoplasmata;o__Thermoplasmatales;x__unclassified Thermoplasmatales;s__Thermoplasmatales archaeon UBA444	15182	1645044	none	none	na	1629862	0	DARK00000000.1	1689	145	64993	1	none	none	none	none	none	none	1468	DARK01000092.1	1468	2712	0	100	LT671858.211764.213232	Archaea;Thermoplasmatota;Thermoplasmata;Thermoplasmatales;Thermoplasmataceae;Cuniculiplasma;Cuniculiplasma divulgatum	15182	18	36	0
GB_GCA_030446425.1	0	88.38	0	Specific	97.82	0	228	p__Euryarchaeota (UID49)	153	0	1194785	90.7824423275792	15	733692	55.74756267965051	1316097	RS_GCF_000711905.1	f	d__Archaea;p__Halobacteriota;c__Methanosarcinia;o__Methanosarcinales_A;f__Methermicoccaceae;g__Methermicoccus;s__Methermicoccus shengliensis	not type material	none	f	3	3	315606	315606	34467	1	2910	JASURW010000010.1	34467	1	117	JASURW010000010.1	2907	5369	0	100	JONQ01000007.4575.7492	Archaea;Halobacteriota;Methanosarcinia;Methanosarcinales;Methermicoccaceae;Methermicoccus;Methermicoccus shengliensis DSM 18856	87739	87739	t	f	f	152515	152515	Contig	ASM3044642v1	na	PRJNA308326	SAMN33401209	15	152515	USA: Colorado	2023-07-13	GCA_030446425.1	derived from metagenome	full	DJKA79_F11_bin.10	Produced fluids from hydraulically fractured shales	40.411582 N 104.348363 W	0	0	Methanosarcinales archaeon	none	na	0	none	none	none	none	none	2023/07/13	0	2250255	0	DJKA79_F11_bin.10	The Ohio State University	2250255	d__Archaea;p__Euryarchaeota;c__Methanomicrobia;o__Methanosarcinales;f__;g__;s__	d__Archaea;p__Euryarchaeota;x__Stenosarchaea group;c__Methanomicrobia;o__Methanosarcinales;x__unclassified Methanosarcinales;s__Methanosarcinales archaeon	0	1316097	11	0	na	1316097	0	JASURW000000000.1	1413	15	34467	1	none	none	none	none	none	none	1483	JASURW010000010.1	1452	2584	0	98.829	AY835420.1.1448	Archaea;Halobacteriota;Methanosarcinia;Methanosarcinales;Methermicoccaceae;Methermicoccus;uncultured archaeon	0	19	45	0
RS_GCF_000328665.1	0	99.99	0.31	Specific	99.84	0.33	228	p__Euryarchaeota (UID49)	153	0	2345842	86.43444228159555	2	1136277	41.86704337820048	2714013	RS_GCF_000328665.1	t	d__Archaea;p__Halobacteriota;c__Methanosarcinia;o__Methanosarcinales;f__Methanosarcinaceae;g__Methanomethylovorans;s__Methanomethylovorans hollandica	type strain of species	LPSN	t	1	1	2428904	2428904	2428904	2	2915	NC_019977.1	2428904	2	117	NC_019977.1	2915	5384	0	100	CP003362.2361236.2364156	Archaea;Halobacteriota;Methanosarcinia;Methanosarcinales;Methanosarcinaceae;Methanomethylovorans;Methanomethylovorans hollandica DSM 15978	1357006	1357006	t	f	f	2428904	2428904	Complete Genome	ASM32866v1	na	PRJNA224116	SAMN02261367	none	none	Netherlands: The Dekkerswald Institute; Nijmegen	2012-12-28	GCA_000328665.1	none	full	na	Anaerobic top layer (5 to 10 cm) of sediment (depth; 50 cm) in a eutrophic freshwater pond at the Dekkerswald Institute; Nijmegen; The Netherlands	none	2	0	Methanomethylovorans hollandica DSM 15978	2574	representative genome	6	2	1	2428904	2428904	285109	2012/12/28	0	101192	2	DSM 15978	JGI	867904	d__Archaea;p__Euryarchaeota;c__Methanomicrobia;o__Methanosarcinales;f__Methanosarcinaceae;g__Methanomethylovorans;s__Methanomethylovorans hollandica	d__Archaea;p__Euryarchaeota;x__Stenosarchaea group;c__Methanomicrobia;o__Methanosarcinales;f__Methanosarcinaceae;g__Methanomethylovorans;s__Methanomethylovorans hollandica;x__Methanomethylovorans hollandica DSM 15978	0	2714013	11	52	assembly from type material	2714013	0	na	2638	2	2428904	2	none	none	none	none	none	none	1475	NC_019977.1	1449	2671	0	99.931	AF120163.1.1449	Archaea;Halobacteriota;Methanosarcinia;Methanosarcinales;Methanosarcinaceae;Methanomethylovorans;Methanomethylovorans hollandica	0	19	52	0
GB_GCA_027366715.1	0	99.04	2.11	Specific	96.33	0	187	p__Euryarchaeota (UID3)	124	0	1687641	88.36561615926787	36	709984	37.17507077821743	1909839	RS_GCF_900083515.1	f	d__Archaea;p__Thermoplasmatota;c__Thermoplasmata;o__Thermoplasmatales;f__Thermoplasmataceae;g__Cuniculiplasma;s__Cuniculiplasma divulgatum	not type material	none	f	4	4	397848	397848	175521	1	2894	DAICVX010000019.1	53126	1	114	DAICVX010000026.1	2894	5345	0	100	LT671858.1873338.1876243	Archaea;Thermoplasmatota;Thermoplasmata;Thermoplasmatales;Thermoplasmataceae;Cuniculiplasma;Cuniculiplasma divulgatum	53051	53051	t	f	f	175521	175521	Contig	ASM2736671v1	na	PRJNA834572	SAMN28407093	36	175521	China: Guangxi; Wuyi	2022-12-27	GCA_027366715.1	derived from metagenome	full	clean2885	sediment	25.14854 N 107.50044 E	0	none	Thermoplasmatales archaeon	none	na	none	none	none	none	none	none	2022/12/27	0	2268204	none	clean2885	an eLibrary of Microbial Systematics and Genomics	2268204	d__Archaea;p__Candidatus Thermoplasmatota;c__Thermoplasmata;o__Thermoplasmatales;f__;g__;s__	d__Archaea;p__Candidatus Thermoplasmatota;c__Thermoplasmata;o__Thermoplasmatales;x__unclassified Thermoplasmatales;s__Thermoplasmatales archaeon	0	1909839	none	none	na	1909839	0	DAICVX000000000.1	1919	36	97585	1	none	none	none	none	none	none	1468	DAICVX010000027.1	1468	2712	0	100	LT671858.211764.213232	Archaea;Thermoplasmatota;Thermoplasmata;Thermoplasmatales;Thermoplasmataceae;Cuniculiplasma;Cuniculiplasma divulgatum	0	19	46	0
RS_GCF_004104135.1	0	99.96	0.15	Specific	99.51	0	228	p__Euryarchaeota (UID49)	153	0	1700777	88.18164378447882	74	814416	42.2257248330499	1928720	RS_GCF_900215215.1	f	d__Archaea;p__Halobacteriota;c__Methanosarcinia;o__Methanosarcinales;f__Methanosarcinaceae;g__Methanohalophilus;s__Methanohalophilus euhalobius	not type material	none	f	5	5	367623	367623	5244	1	2907	NZ_RRBA01000024.1	5244	3	115	NZ_RRBA01000024.1	2903	5293	0	99.587	FXBN01000001.268557.271459	Archaea;Halobacteriota;Methanosarcinia;Methanosarcinales;Methanosarcinaceae;Methanohalophilus;Methanohalophilus portucalensis FDF-1	26063	26063	t	f	f	109433	109433	Contig	ASM410413v1	na	PRJNA224116	SAMN07462262	74	109433	USA: Ohio	2019-01-23	GCA_004104135.1	none	full	na	hydraulically fractured well fluid	40.06 N 81.10000000 W	0	0	Methanohalophilus sp. WG1-DM	none	na	5	none	none	none	none	none	2019/01/23	0	2491675	1	WG1-DM	The Ohio State University	2491675	d__Archaea;p__Euryarchaeota;c__Methanomicrobia;o__Methanosarcinales;f__Methanosarcinaceae;g__Methanohalophilus;s__	d__Archaea;p__Euryarchaeota;x__Stenosarchaea group;c__Methanomicrobia;o__Methanosarcinales;f__Methanosarcinaceae;g__Methanohalophilus;x__unclassified Methanohalophilus;s__Methanohalophilus sp. WG1-DM	0	1928720	11	48	na	1928720	0	RRBA00000000.1	2080	74	5244	1	none	none	none	none	none	none	1477	NZ_RRBA01000024.1	1477	2687	0	99.526	CP017881.2003649.2005131	Archaea;Halobacteriota;Methanosarcinia;Methanosarcinales;Methanosarcinaceae;Methanohalophilus;Methanohalophilus portucalensis	0	19	48	0
GB_GCA_036773885.1	0	99.07	2.18	Specific	96.57	0.65	234	p__Euryarchaeota (UID54)	153	0	2224684	85.6138325424955	125	1579415	60.83306692960394	2598510	RS_GCF_002508705.1	f	d__Archaea;p__Halobacteriota;c__Methanomicrobia;o__Methanomicrobiales;f__Methanoculleaceae;g__Methanoculleus;s__Methanoculleus sp002508705	not type material	none	f	22	19	112834	126916	none	0	none	none	none	0	none	none	none	none	none	none	none	none	20770	25228	f	f	t	32959	42837	Scaffold	ASM3677388v1	na	PRJNA843551	SAMN28747847	125	32959	none	2024-02-22	GCA_036773885.1	derived from metagenome	full	CTOTU40521	none	none	0	none	Euryarchaeota archaeon	none	na	none	103	19	42837	23667	12550	2024/02/22	22	2026739	none	CTOTU40521	Helmholtz Centre for Environmental Research - UFZ	2026739	d__Archaea;p__Euryarchaeota;c__;o__;f__;g__;s__	d__Archaea;p__Euryarchaeota;x__unclassified Euryarchaeota;s__Euryarchaeota archaeon	2200	2598510	none	none	na	2596310	0	DAIPCP000000000.1	2698	103	none	0	none	none	none	none	none	none	none	none	none	none	none	none	none	none	2200	19	47	0
RS_GCF_900110215.1	0	100	4.1	Specific	99.93	1.7	359	f__Halobacteriaceae (UID84)	235	0	4246134	87.19394269694716	122	3090182	63.456712749817854	4869758	RS_GCF_900110215.1	t	d__Archaea;p__Halobacteriota;c__Halobacteria;o__Halobacteriales;f__Haloarculaceae;g__Halorientalis;s__Halorientalis persica	type strain of species	LPSN	f	11	10	345647	374147	38648	4	1218	NZ_FOCX01000029.1	149545	2	114	NZ_FOCX01000011.1	1216	1997	0	96.299	FNBK01000017.1.1910	Archaea;Halobacteriota;Halobacteria;Halobacterales;Halomicrobiaceae;Halorientalis;Halorientalis regularis	39915	40245	f	f	t	149545	157375	Scaffold	IMG-taxon 2654588107 annotated assembly	na	PRJNA224116	SAMN05216388	122	149545	none	2016-10-31	GCA_900110215.1	none	full	na	none	none	0	0	Halorientalis persicus	4911	representative genome	8	121	10	157375	68568	21702	2016/10/31	1	1367881	2	IBRC-M 10043	DOE - JOINT GENOME INSTITUTE	1367881	d__Archaea;p__Euryarchaeota;c__Halobacteria;o__Halobacteriales;f__Haloarculaceae;g__Halorientalis;s__Halorientalis persicus	d__Archaea;p__Euryarchaeota;x__Stenosarchaea group;c__Halobacteria;o__Halobacteriales;f__Haloarculaceae;g__Halorientalis;s__Halorientalis persicus	10	4869758	11	74	assembly from type material	4869748	0	FOCX00000000.1	5164	121	297102	2	1472	2523	0	97.622	551722	k__Archaea;p__Euryarchaeota;c__Halobacteria;o__Halobacteriales;f__Halobacteriaceae;g__Halorientalis;s__regularis	1474	NZ_FOCX01000004.1	1442	2612	0	99.376	KF313134.1.1445	Archaea;Halobacteriota;Halobacteria;Halobacterales;Halomicrobiaceae;Halorientalis;Halorientalis persicus	10	19	71	0
RS_GCF_001560405.1	66	99.98	0.28	Specific	99.29	0	217	c__Thermoprotei (UID147)	168	0	1960052	87.57566604888737	17	821763	36.71768113248182	2238124	RS_GCF_000012285.1	f	d__Archaea;p__Thermoproteota;c__Thermoprotei_A;o__Sulfolobales;f__Sulfolobaceae;g__Sulfolobus;s__Sulfolobus acidocaldarius	not type material	none	f	3	3	477402	477402	12141	1	3012	NZ_LPRZ01000009.1	none	0	none	none	3012	5563	0	100	LPSP01000003.1109.4143	Archaea;Thermoproteota;Thermoproteia;Sulfolobales;Sulfolobaceae;Sulfolobus;Sulfolobus acidocaldarius	131654	131654	f	f	t	290080	290080	Contig	NG05B_C06_03	na	PRJNA224116	SAMN04305160	17	290080	USA: Yellowstone National Park	2016-02-11	GCA_001560405.1	none	full	na	NG05 hot spring; Norris Geyser Basin	none	0	0	Sulfolobus acidocaldarius	2335	na	4	none	none	none	none	none	2016/02/11	0	2285	2	NG05B_C06_03	University of Illinois at Urbana-Champaign	2285	d__Archaea;p__Thermoproteota;c__Thermoprotei;o__Sulfolobales;f__Sulfolobaceae;g__Sulfolobus;s__Sulfolobus acidocaldarius	d__Archaea;x__TACK group;p__Thermoproteota;c__Thermoprotei;o__Sulfolobales;f__Sulfolobaceae;g__Sulfolobus;s__Sulfolobus acidocaldarius	0	2238124	11	46	na	2238124	0	LPRZ00000000.1	2445	17	12141	2	854	1572	0	99.883	953	k__Archaea;p__Crenarchaeota;c__Thermoprotei;o__Sulfolobales;f__Sulfolobaceae;g__Sulfolobus;s__acidocaldarius	864	NZ_LPRZ01000009.1	856	1581	0	100	D14876.260.1752	Archaea;Thermoproteota;Thermoproteia;Sulfolobales;Sulfolobaceae;Sulfolobus;Sulfolobus acidocaldarius	0	19	47	0
