Marker Id	Name	Description	Length (bp)	Single copy (%)	Ubiquity (%)
PFAM_PF00380.20	Ribosomal_S9	Ribosomal protein S9/S16	121	91.31	92.55
PFAM_PF00410.20	Ribosomal_S8	Ribosomal protein S8	126	85.36	86.41
PFAM_PF00466.21	Ribosomal_L10	Ribosomal protein L10	100	84.39	85.14
PFAM_PF01025.20	GrpE	GrpE	166	85.99	94.27
PFAM_PF02576.18	DUF150	RimP N-terminal domain	73	76.12	76.63
PFAM_PF03726.15	PNPase	Polyribonucleotide nucleotidyltransferase, RNA binding domain	83	85.28	85.89
TIGR_TIGR00006	TIGR00006	16S rRNA (cytosine(1402)-N(4))-methyltransferase	310	91.08	95.18
TIGR_TIGR00019	prfA	peptide chain release factor 1	361	92.12	92.55
TIGR_TIGR00020	prfB	peptide chain release factor 2	365	89.78	90.21
TIGR_TIGR00029	S20	ribosomal protein bS20	87	91.44	92.01
TIGR_TIGR00043	TIGR00043	rRNA maturation RNase YbeY	111	90.42	91.11
TIGR_TIGR00054	TIGR00054	RIP metalloprotease RseP	421	90.02	94.38
TIGR_TIGR00059	L17	ribosomal protein bL17	112	90.49	91.27
TIGR_TIGR00061	L21	ribosomal protein bL21	101	91.72	92.52
TIGR_TIGR00064	ftsY	signal recognition particle-docking protein FtsY	279	85.48	85.84
TIGR_TIGR00065	ftsZ	cell division protein FtsZ	353	84.93	90.52
TIGR_TIGR00082	rbfA	ribosome-binding factor A	115	89.77	90.28
TIGR_TIGR00083	ribF	riboflavin biosynthesis protein RibF	290	83.54	85.97
TIGR_TIGR00084	ruvA	Holliday junction DNA helicase RuvA	192	89.12	89.63
TIGR_TIGR00086	smpB	SsrA-binding protein	144	91.01	92.11
TIGR_TIGR00088	trmD	tRNA (guanine(37)-N(1))-methyltransferase	233	92.85	94.86
TIGR_TIGR00090	rsfS_iojap_ybeB	ribosome silencing factor	99	84.43	84.89
TIGR_TIGR00092	TIGR00092	GTP-binding protein YchF	368	89.75	91.61
TIGR_TIGR00095	TIGR00095	16S rRNA (guanine(966)-N(2))-methyltransferase RsmD	194	87.14	88.09
TIGR_TIGR00115	tig	trigger factor	410	85.60	89.88
TIGR_TIGR00116	tsf	translation elongation factor Ts	293	91.87	93.01
TIGR_TIGR00138	rsmG_gidB	16S rRNA (guanine(527)-N(7))-methyltransferase RsmG	183	79.29	80.31
TIGR_TIGR00158	L9	ribosomal protein bL9	148	91.18	92.24
TIGR_TIGR00166	S6	ribosomal protein bS6	95	91.70	92.68
TIGR_TIGR00168	infC	translation initiation factor IF-3	165	90.01	92.18
TIGR_TIGR00186	rRNA_methyl_3	RNA methyltransferase, TrmH family, group 3	240	76.47	78.92
TIGR_TIGR00194	uvrC	excinuclease ABC subunit C	574	91.00	91.78
TIGR_TIGR00250	RNAse_H_YqgF	putative transcription antitermination factor YqgF	130	88.09	88.64
TIGR_TIGR00337	PyrG	CTP synthase	526	86.45	88.50
TIGR_TIGR00344	alaS	alanine--tRNA ligase	847	91.18	92.60
TIGR_TIGR00362	DnaA	chromosomal replication initiator protein DnaA	437	87.05	91.81
TIGR_TIGR00382	clpX	ATP-dependent Clp protease, ATP-binding subunit ClpX	414	75.88	84.83
TIGR_TIGR00392	ileS	isoleucine--tRNA ligase	861	88.53	89.85
TIGR_TIGR00396	leuS_bact	leucine--tRNA ligase	843	90.29	94.16
TIGR_TIGR00398	metG	methionine--tRNA ligase	530	89.84	93.65
TIGR_TIGR00414	serS	serine--tRNA ligase	418	90.52	92.51
TIGR_TIGR00416	sms	DNA repair protein RadA	454	76.89	77.42
TIGR_TIGR00420	trmU	tRNA (5-methylaminomethyl-2-thiouridylate)-methyltransferase	351	89.33	91.76
TIGR_TIGR00431	TruB	tRNA pseudouridine(55) synthase	210	90.04	91.43
TIGR_TIGR00435	cysS	cysteine--tRNA ligase	466	88.20	93.02
TIGR_TIGR00436	era	GTP-binding protein Era	270	80.51	81.48
TIGR_TIGR00442	hisS	histidine--tRNA ligase	406	90.67	92.47
TIGR_TIGR00445	mraY	phospho-N-acetylmuramoyl-pentapeptide-transferase	321	87.54	89.25
TIGR_TIGR00456	argS	arginine--tRNA ligase	569	90.30	93.55
TIGR_TIGR00459	aspS_bact	aspartate--tRNA ligase	586	85.37	89.70
TIGR_TIGR00460	fmt	methionyl-tRNA formyltransferase	315	90.16	91.04
TIGR_TIGR00468	pheS	phenylalanine--tRNA ligase, alpha subunit	324	91.65	92.30
TIGR_TIGR00472	pheT_bact	phenylalanine--tRNA ligase, beta subunit	798	90.72	91.89
TIGR_TIGR00487	IF-2	translation initiation factor IF-2	587	92.66	93.57
TIGR_TIGR00496	frr	ribosome recycling factor	176	94.15	94.67
TIGR_TIGR00539	hemN_rel	putative oxygen-independent coproporphyrinogen III oxidase	361	82.48	83.39
TIGR_TIGR00580	mfd	transcription-repair coupling factor	923	86.10	87.61
TIGR_TIGR00593	pola	DNA polymerase I	890	89.53	90.57
TIGR_TIGR00615	recR	recombination protein RecR	196	91.56	92.17
TIGR_TIGR00631	uvrb	excinuclease ABC subunit B	658	90.13	91.77
TIGR_TIGR00634	recN	DNA repair protein RecN	563	80.27	81.24
TIGR_TIGR00635	ruvB	Holliday junction DNA helicase RuvB	305	91.07	92.21
TIGR_TIGR00643	recG	ATP-dependent DNA helicase RecG	629	86.63	87.13
TIGR_TIGR00663	dnan	DNA polymerase III, beta subunit	367	87.68	91.54
TIGR_TIGR00717	rpsA	ribosomal protein bS1	516	72.97	79.78
TIGR_TIGR00755	ksgA	ribosomal RNA small subunit methyltransferase A	256	91.58	92.00
TIGR_TIGR00810	secG	preprotein translocase, SecG subunit	73	91.20	91.89
TIGR_TIGR00922	nusG	transcription termination/antitermination factor NusG	172	82.94	83.51
TIGR_TIGR00928	purB	adenylosuccinate lyase	436	78.73	80.39
TIGR_TIGR00959	ffh	signal recognition particle protein	428	83.90	84.20
TIGR_TIGR00963	secA	preprotein translocase, SecA subunit	787	87.71	88.38
TIGR_TIGR00964	secE_bact	preprotein translocase, SecE subunit	57	81.11	81.76
TIGR_TIGR00967	3a0501s007	preprotein translocase, SecY subunit	414	87.30	88.26
TIGR_TIGR01009	rpsC_bact	ribosomal protein uS3	212	83.76	84.86
TIGR_TIGR01011	rpsB_bact	ribosomal protein uS2	225	91.38	93.25
TIGR_TIGR01017	rpsD_bact	ribosomal protein uS4	200	87.74	90.47
TIGR_TIGR01021	rpsE_bact	ribosomal protein uS5	156	86.51	87.08
TIGR_TIGR01029	rpsG_bact	ribosomal protein uS7	154	83.46	84.18
TIGR_TIGR01032	rplT_bact	ribosomal protein bL20	114	91.76	92.57
TIGR_TIGR01039	atpD	ATP synthase F1, beta subunit	462	76.70	81.25
TIGR_TIGR01044	rplV_bact	ribosomal protein uL22	103	83.18	83.74
TIGR_TIGR01059	gyrB	DNA gyrase, B subunit	639	83.54	87.34
TIGR_TIGR01063	gyrA	DNA gyrase, A subunit	800	85.13	87.04
TIGR_TIGR01066	rplM_bact	ribosomal protein uL13	141	91.50	92.22
TIGR_TIGR01071	rplO_bact	ribosomal protein uL15	144	87.27	88.06
TIGR_TIGR01079	rplX_bact	ribosomal protein uL24	104	84.48	85.16
TIGR_TIGR01082	murC	UDP-N-acetylmuramate--L-alanine ligase	449	85.04	86.88
TIGR_TIGR01087	murD	UDP-N-acetylmuramoylalanine--D-glutamate ligase	441	88.38	89.78
TIGR_TIGR01128	holA	DNA polymerase III, delta subunit	314	86.56	87.51
TIGR_TIGR01146	ATPsyn_F1gamma	ATP synthase F1, gamma subunit	286	77.20	81.95
TIGR_TIGR01164	rplP_bact	ribosomal protein uL16	126	83.97	84.93
TIGR_TIGR01169	rplA_bact	ribosomal protein uL1	227	83.02	83.87
TIGR_TIGR01171	rplB_bact	ribosomal protein uL2	275	83.87	84.69
TIGR_TIGR01302	IMP_dehydrog	inosine-5'-monophosphate dehydrogenase	450	75.83	77.86
TIGR_TIGR01391	dnaG	DNA primase	414	88.79	94.30
TIGR_TIGR01393	lepA	elongation factor 4	595	89.78	93.46
TIGR_TIGR01394	TypA_BipA	GTP-binding protein TypA/BipA	594	84.90	87.29
TIGR_TIGR01510	coaD_prev_kdtB	pantetheine-phosphate adenylyltransferase	155	85.28	86.85
TIGR_TIGR01632	L11_bact	ribosomal protein uL11	140	83.57	84.23
TIGR_TIGR01951	nusB	transcription antitermination factor NusB	131	91.08	91.56
TIGR_TIGR01953	NusA	transcription termination factor NusA	340	92.84	93.65
TIGR_TIGR02012	tigrfam_recA	protein RecA	321	89.45	93.89
TIGR_TIGR02013	rpoB	DNA-directed RNA polymerase, beta subunit	1238	81.32	83.95
TIGR_TIGR02027	rpoA	DNA-directed RNA polymerase, alpha subunit	298	87.12	90.82
TIGR_TIGR02075	pyrH_bact	UMP kinase	233	87.01	88.13
TIGR_TIGR02191	RNaseIII	ribonuclease III	219	86.09	87.29
TIGR_TIGR02273	16S_RimM	16S rRNA processing protein RimM	166	78.44	78.84
