Entry	EC number	genus
GB_GCA_946481735.1	10	174586
RS_GCF_000766945.1	10	1209072
GB_GCA_937958105.1	10	174586
RS_GCF_000953825.1	10	529823
GB_GCA_946886255.1	10	174586
RS_GCF_008806955.1	10	454662
GB_GCA_946481095.1	10	174586
GB_GCA_016712405.1	10	1965322
GB_GCA_946482345.1	10	174586
GB_GCA_003056245.1	10	1954207
RS_GCF_002162135.1	10	1987723
GB_GCA_946482385.1	10	174586
GB_GCA_021323495.1	10	1965322
RS_GCF_014652535.1	10	1237077
RS_GCF_008806975.1	10	2303332
RS_GCF_001183545.1	10	1622269
GB_GCA_003524365.1	10	1965322
GB_GCA_937859835.1_rep5	1000999	1401345
RS_GCF_003858395.1_rep3	1000999	2305226
RS_GCF_004339725.1_rep4	1000999	768535
RS_GCF_003858395.1_rep7	1000999	2305226
GB_GCA_937859835.1_rep6	1000999	1401345
GB_GCA_010365215.1_rep1	1000999	1872113
RS_GCF_004339725.1_rep3	1000999	768535
GB_GCA_937859835.1_rep0	1000999	1401345
RS_GCF_003858395.1_rep6	1000999	2305226
GB_GCA_010365215.1_rep7	1000999	1872113
GB_GCA_010365215.1	1000999	1872113
GB_GCA_937859835.1_rep7	1000999	1401345
RS_GCF_004339725.1_rep8	1000999	768535
GB_GCA_937859835.1_rep1	1000999	1401345
RS_GCF_003858395.1	1000999	2305226
GB_GCA_010365215.1_rep8	1000999	1872113
RS_GCF_003858395.1_rep5	1000999	2305226
RS_GCF_004339725.1	1000999	768535
GB_GCA_010365215.1_rep2	1000999	1872113
GB_GCA_937859835.1_rep2	1000999	1401345
GB_GCA_937859835.1	1000999	1401345
RS_GCF_004339725.1_rep7	1000999	768535
GB_GCA_937859835.1_rep8	1000999	1401345
RS_GCF_003858395.1_rep8	1000999	2305226
RS_GCF_003858395.1_rep1	1000999	2305226
RS_GCF_004339725.1_rep0	1000999	768535
RS_GCF_004339725.1_rep6	1000999	768535
GB_GCA_010365215.1_rep5	1000999	1872113
RS_GCF_003858395.1_rep2	1000999	2305226
GB_GCA_010365215.1_rep4	1000999	1872113
RS_GCF_004339725.1_rep1	1000999	768535
GB_GCA_937859835.1_rep4	1000999	1401345
RS_GCF_030506305.1_rep5	1001222	930972
RS_GCF_030506305.1	1001222	930972
RS_GCF_030506305.1_rep8	1001222	930972
RS_GCF_030506305.1_rep0	1001222	930972
RS_GCF_030506305.1_rep2	1001222	930972
RS_GCF_030506305.1_rep1	1001222	930972
RS_GCF_030506305.1_rep7	1001222	930972
RS_GCF_030506305.1_rep6	1001222	930972
GB_GCA_012838125.1_rep0	100175	2699752
GB_GCA_012838125.1_rep8	100175	2699752
GB_GCA_012838125.1_rep6	100175	2699752
RS_GCF_900176335.1_rep6	100175	1122930
GB_GCA_012838125.1_rep7	100175	2699752
GB_GCA_012838125.1_rep4	100175	2699752
RS_GCF_900176335.1_rep7	100175	1122930
RS_GCF_900176335.1_rep0	100175	1122930
RS_GCF_900176335.1_rep4	100175	1122930
GB_GCA_012838125.1_rep2	100175	2699752
RS_GCF_900176335.1_rep8	100175	1122930
GB_GCA_012838125.1_rep3	100175	2699752
GB_GCA_012838125.1_rep1	100175	2699752
RS_GCF_900176335.1_rep1	100175	1122930
GB_GCA_012838125.1_rep5	100175	2699752
RS_GCF_900176335.1_rep5	100175	1122930
RS_GCF_027347335.1_rep1	1004300	2881279
RS_GCF_001623405.1_rep6	1004300	714549
RS_GCF_003254115.1_rep5	1004300	1004304
GB_GCA_022402565.1	1004300	2881279
RS_GCF_001623405.1	1004300	714549
GB_GCA_022402565.1_rep0	1004300	2881279
GB_GCA_027364735.1	1004300	2881279
RS_GCF_001623405.1_rep2	1004300	714549
GB_GCA_027364735.1_rep1	1004300	2881279
GB_GCA_030054115.1_rep0	1004300	2881279
GB_GCA_030054115.1	1004300	2881279
RS_GCF_027347335.1	1004300	2881279
RS_GCF_003254115.1_rep1	1004300	1004304
